ty,tx,skel_len_um_per_mm2,endpoint_per_mm2,mean_thick_um
0,0,531404.2,94073.0,1.976
0,400,639322.7,133326.0,1.419
0,800,505537.6,86282.0,2.111
0,1200,426464.1,67866.0,2.596
400,0,616902.9,121561.0,1.612
400,400,670576.0,116831.0,1.37
400,800,648595.5,123629.0,1.42
400,1200,580972.5,123645.0,1.59
400,1600,515401.4,115212.0,1.681
400,2000,447492.3,46133.0,2.672
800,0,601556.9,120804.0,1.612
800,400,651005.9,121459.0,1.382
800,800,628736.2,112403.0,1.526
800,1200,642488.6,120961.0,1.45
800,1600,552202.0,124349.0,1.519
800,2000,512905.7,125662.0,1.736
800,2400,523235.0,101409.0,1.891
800,2800,478475.6,112471.0,1.879
1200,0,586425.5,111911.0,1.597
1200,400,647312.8,124720.0,1.456
1200,800,632893.6,114749.0,1.486
1200,1200,606087.2,127208.0,1.545
1200,1600,598253.0,111783.0,1.577
1200,2000,607183.9,143955.0,1.431
1200,2400,589167.4,137390.0,1.325
1200,2800,552275.2,115165.0,1.555
1600,0,621183.6,131277.0,1.548
1600,400,647963.6,129739.0,1.405
1600,800,680291.6,143334.0,1.348
1600,1200,644182.5,133931.0,1.453
1600,1600,621547.8,122868.0,1.55
1600,2000,652636.3,128709.0,1.441
1600,2400,639694.6,129467.0,1.391
1600,2800,545679.6,121790.0,1.698
2000,0,576006.3,107665.0,1.795
2000,400,569253.2,117636.0,1.706
2000,800,633553.2,145402.0,1.373
2000,1200,592022.5,145073.0,1.426
2000,1600,626962.8,135224.0,1.486
2000,2000,610481.9,152504.0,1.493
2000,2400,610401.2,134091.0,1.511
2000,2800,548990.1,130015.0,1.693
2400,400,415573.5,49851.0,3.608
2400,800,633028.2,124471.0,1.509
2400,1200,543739.1,93620.0,2.061
2400,1600,572881.9,118809.0,1.784
2400,2000,584057.1,122948.0,1.679
2400,2400,545993.3,99089.0,1.858
2400,2800,558240.3,122886.0,1.796
2800,400,518757.9,79615.0,2.282
2800,800,524794.4,123480.0,1.744
2800,1200,513272.4,81000.0,2.477
2800,1600,544023.1,80786.0,2.187
2800,2000,485342.8,70771.0,2.53
2800,2400,480747.4,81097.0,2.389
2800,2800,621730.6,215771.0,1.812
