ty,tx,skel_len_um_per_mm2,endpoint_per_mm2,mean_thick_um
0,400,531628.6,97551.0,1.982
0,800,523202.0,89230.0,1.961
0,1200,514950.5,106401.0,1.94
0,1600,504214.3,131666.0,1.855
400,0,562214.1,112055.0,1.642
400,400,521556.4,86838.0,1.878
400,800,598200.0,103703.0,1.578
400,1200,571305.0,102171.0,1.775
400,1600,553063.6,107104.0,1.759
400,2000,559982.6,108810.0,1.809
800,0,576031.3,86943.0,1.712
800,400,586052.7,108082.0,1.693
800,800,612212.7,125515.0,1.538
800,1200,630179.7,133315.0,1.517
800,1600,578510.2,101577.0,1.683
800,2000,559367.3,89588.0,1.844
800,2400,591941.7,81316.0,1.854
1200,0,627981.7,104965.0,1.504
1200,400,600749.9,120382.0,1.512
1200,800,564759.3,101887.0,1.706
1200,1200,567537.2,104251.0,1.636
1200,1600,613490.1,106867.0,1.569
1200,2000,535765.1,81451.0,1.774
1200,2400,530462.8,97765.0,1.88
1200,2800,484832.1,75533.0,2.316
1600,0,566943.5,81834.0,1.877
1600,400,657439.7,116214.0,1.461
1600,800,615858.5,97001.0,1.615
1600,1200,660199.5,106978.0,1.407
1600,1600,631991.5,128642.0,1.485
1600,2000,616066.2,110124.0,1.489
1600,2400,548046.8,120227.0,1.634
1600,2800,541721.7,86912.0,1.86
2000,0,519804.5,72859.0,2.01
2000,400,623814.5,115686.0,1.56
2000,800,662038.1,118381.0,1.438
2000,1200,604709.5,97314.0,1.705
2000,1600,608491.6,98874.0,1.665
2000,2000,548588.3,105328.0,1.584
2000,2400,549475.4,116632.0,1.605
2000,2800,530162.0,96221.0,1.812
2400,0,718352.1,173515.0,1.096
2400,400,600456.8,93346.0,1.673
2400,800,617083.2,121546.0,1.601
2400,1200,577434.5,96267.0,1.612
2400,1600,560820.9,114978.0,1.605
2400,2000,551286.4,116453.0,1.667
2400,2400,551616.1,108389.0,1.758
2400,2800,530274.5,133476.0,1.769
2800,400,561333.3,98015.0,1.662
2800,800,638498.4,114034.0,1.523
2800,1200,610610.5,102572.0,1.558
2800,1600,595996.5,102236.0,1.608
2800,2000,565080.9,100356.0,1.624
2800,2400,557651.9,113745.0,1.647
