image,condition,ty,tx,fg_fraction,skel_per_tile_mm2,skel_per_fg_mm2,branch_per_100um,endpoint_per_100um,endpoint_branch_ratio,mean_thickness_um,mean_seg_len_um,n_branch,n_endpoint,frag_score,cluster
F_WT_2,WT,200,400,0.0605,42874.4,708375.0,10.887,16.33,1.5,1.361,4.592,8,12,-3.39,2
F_WT_2,WT,200,600,0.179,114251.2,638274.9,13.788,18.895,1.37,1.57,3.302,27,37,-1.709,0
F_WT_2,WT,200,800,0.2385,160024.2,671031.2,16.042,16.771,1.045,1.539,3.38,44,46,-3.606,0
F_WT_2,WT,200,1000,0.2042,138647.3,678978.2,13.887,18.516,1.333,1.433,3.541,33,44,-2.321,0
F_WT_2,WT,200,1200,0.1528,99879.2,653659.9,11.683,22.782,1.95,1.491,3.355,20,39,0.69,2
F_WT_2,WT,200,1400,0.1143,72101.4,630946.8,12.947,21.848,1.688,1.488,3.756,16,27,-1.113,2
F_WT_2,WT,400,400,0.1463,95289.9,651331.9,18.981,18.369,0.968,1.563,2.848,31,30,-3.437,0
F_WT_2,WT,400,600,0.1581,115096.6,728114.0,15.208,24.839,1.633,1.317,3.149,30,49,-0.254,2
F_WT_2,WT,400,800,0.1482,114009.7,769296.0,13.305,21.493,1.615,1.237,3.52,26,42,-0.999,2
F_WT_2,WT,400,1000,0.1434,100000.0,697107.0,14.586,19.254,1.32,1.377,3.533,25,33,-2.417,2
F_WT_2,WT,400,1200,0.166,122946.9,740755.3,13.762,19.931,1.448,1.305,3.855,29,42,-2.372,2
F_WT_2,WT,400,1400,0.2389,156159.4,653797.0,17.934,14.945,0.833,1.569,3.266,48,40,-4.775,0
F_WT_2,WT,400,1600,0.1645,110144.9,669472.3,14.832,20.659,1.393,1.425,3.416,28,39,-1.876,0
F_WT_2,WT,400,1800,0.1211,83333.3,688278.6,15.403,20.304,1.318,1.409,3.286,22,29,-2.032,0
F_WT_2,WT,600,0,0.0588,43599.0,741795.6,14.72,21.411,1.455,1.244,3.302,11,16,-1.37,2
F_WT_2,WT,600,200,0.1502,107487.9,715751.1,11.942,26.054,2.182,1.294,3.72,22,48,0.992,3
F_WT_2,WT,600,400,0.2328,155193.2,666566.0,15.038,15.038,1.0,1.505,3.714,40,40,-4.306,0
F_WT_2,WT,600,600,0.0957,67874.4,709056.1,13.754,25.788,1.875,1.253,3.336,16,30,0.503,2
F_WT_2,WT,600,800,0.1358,115096.6,847233.1,15.208,17.235,1.133,1.145,3.639,30,34,-3.553,2
F_WT_2,WT,600,1000,0.1243,98550.7,792845.7,11.84,20.129,1.7,1.196,3.754,20,34,-1.062,2
F_WT_2,WT,600,1200,0.1103,79227.1,718612.7,13.256,22.829,1.722,1.316,3.507,18,31,-0.504,2
F_WT_2,WT,600,1400,0.1268,94202.9,742632.2,11.148,26.632,2.389,1.246,3.746,18,43,1.684,3
F_WT_2,WT,600,1600,0.1131,82367.1,728107.4,12.75,22.667,1.778,1.38,3.229,18,32,0.241,2
F_WT_2,WT,600,1800,0.1933,139251.2,720482.3,15.921,22.206,1.395,1.315,3.177,38,53,-1.49,0
F_WT_2,WT,600,2000,0.0891,57367.1,643851.3,18.307,20.341,1.111,1.446,3.152,18,20,-3.121,0
F_WT_2,WT,800,0,0.1169,85990.3,735274.4,14.248,25.783,1.81,1.255,3.234,21,38,0.41,2
F_WT_2,WT,800,200,0.2031,142995.2,703976.2,14.689,16.729,1.139,1.451,3.503,36,41,-3.219,0
F_WT_2,WT,800,400,0.1341,95531.4,712522.1,15.268,25.651,1.68,1.393,2.908,25,42,0.413,0
F_WT_2,WT,800,600,0.158,114855.1,727161.0,16.255,16.763,1.031,1.404,3.29,32,33,-3.539,0
F_WT_2,WT,800,800,0.1296,101570.0,783719.5,17.807,25.275,1.419,1.255,2.869,31,44,-0.902,0
F_WT_2,WT,800,1000,0.1242,85748.8,690548.0,12.928,19.732,1.526,1.359,3.553,19,29,-1.44,2
F_WT_2,WT,800,1200,0.1236,97222.2,786746.7,13.203,24.005,1.818,1.208,3.309,22,40,0.28,2
F_WT_2,WT,800,1400,0.1179,84420.3,716033.0,13.822,29.027,2.1,1.287,3.149,20,42,1.865,1
F_WT_2,WT,800,1600,0.1087,89251.2,820889.5,13.074,16.996,1.3,1.135,3.77,20,26,-2.83,2
F_WT_2,WT,800,1800,0.1695,120893.7,713342.5,16.409,25.578,1.559,1.352,3.03,34,53,-0.421,0
F_WT_2,WT,800,2000,0.2059,160265.7,778555.7,17.838,20.387,1.143,1.323,2.768,49,56,-2.192,0
F_WT_2,WT,1000,0,0.1971,157246.4,797597.7,18.552,21.52,1.16,1.214,2.898,50,58,-2.414,0
F_WT_2,WT,1000,200,0.1697,130314.0,768021.3,16.566,20.147,1.216,1.308,3.149,37,45,-2.382,0
F_WT_2,WT,1000,400,0.1143,97705.3,854440.9,11.943,20.303,1.7,1.107,3.786,20,34,-1.12,2
F_WT_2,WT,1000,600,0.1696,128140.1,755654.4,15.481,19.579,1.265,1.344,3.257,34,43,-2.243,0
F_WT_2,WT,1000,800,0.096,76207.7,793623.8,10.718,26.796,2.5,1.108,4.097,14,35,1.408,3
F_WT_2,WT,1000,1000,0.1252,91304.3,729122.4,14.058,22.365,1.591,1.232,3.467,22,35,-1.021,2
F_WT_2,WT,1000,1200,0.1126,83816.4,744373.2,13.922,18.795,1.35,1.265,3.4,20,27,-1.989,2
F_WT_2,WT,1000,1400,0.0952,75000.0,788022.1,13.225,21.004,1.588,1.176,4.082,17,27,-2.149,2
F_WT_2,WT,1000,1600,0.1321,102173.9,773166.2,12.563,23.412,1.864,1.156,3.707,22,41,-0.275,2
F_WT_2,WT,1000,1800,0.2174,160024.2,736081.7,16.771,19.324,1.152,1.368,3.154,46,53,-2.738,0
F_WT_2,WT,1000,2000,0.1553,111956.5,720904.8,18.24,18.24,1.0,1.394,2.985,35,35,-3.408,0
F_WT_2,WT,1000,2200,0.0691,43961.4,636659.7,14.599,19.908,1.364,1.555,3.667,11,15,-2.46,0
F_WT_2,WT,1000,2400,0.1373,98671.5,718525.4,17.739,19.513,1.1,1.416,3.027,30,33,-2.885,0
F_WT_2,WT,1200,0,0.1508,107608.7,713585.5,13.555,24.941,1.84,1.341,3.202,25,46,0.585,2
