image,cell_id,cy,cx,area_px,circularity,eccentricity,solidity,process_count
HET_1,1,13.7,1320.0,268,0.632,0.920,0.887,0
HET_1,2,8.9,1551.3,207,0.730,0.817,0.916,1
HET_1,3,7.3,1723.0,90,0.951,0.763,0.968,0
HET_1,4,17.5,1715.4,303,0.852,0.729,0.927,2
HET_1,5,22.6,1555.2,177,0.840,0.665,0.912,0
HET_1,6,34.2,1060.0,314,0.601,0.923,0.860,3
HET_1,7,35.1,1325.0,374,0.434,0.651,0.694,1
HET_1,8,33.8,1732.9,145,0.630,0.940,0.901,0
HET_1,9,46.5,1047.1,547,0.531,0.883,0.828,1
HET_1,10,52.0,1296.7,668,0.761,0.639,0.906,1
HET_1,11,42.9,993.8,272,0.881,0.545,0.944,1
HET_1,12,55.2,1430.4,706,0.491,0.743,0.800,0
HET_1,13,50.0,1012.0,366,0.420,0.814,0.683,0
HET_1,14,43.2,1632.2,112,0.938,0.728,0.957,0
HET_1,15,57.6,1496.3,519,0.421,0.847,0.688,2
HET_1,16,57.9,1578.2,451,0.538,0.884,0.798,1
HET_1,17,64.7,1779.8,350,0.415,0.954,0.682,0
HET_1,18,68.1,1105.6,554,0.493,0.947,0.832,2
HET_1,19,61.0,1623.9,379,0.761,0.797,0.902,1
HET_1,20,55.9,1685.1,266,0.655,0.896,0.881,0
HET_1,21,59.3,1331.9,234,0.842,0.727,0.925,0
HET_1,22,77.8,1487.1,659,0.338,0.976,0.689,0
HET_1,23,81.9,1218.5,580,0.510,0.828,0.787,1
HET_1,24,70.2,1520.3,346,0.614,0.812,0.840,0
HET_1,25,81.8,1669.6,681,0.590,0.774,0.846,0
HET_1,26,72.1,1145.9,151,0.963,0.489,0.962,1
HET_1,27,87.2,1746.4,467,0.592,0.851,0.879,2
HET_1,28,92.7,1382.4,971,0.652,0.675,0.863,0
HET_1,29,90.3,972.1,434,0.569,0.719,0.817,1
HET_1,30,87.3,1051.6,201,0.474,0.955,0.764,0
HET_1,31,91.6,1787.8,309,0.778,0.805,0.922,2
HET_1,32,97.6,1059.3,245,0.721,0.876,0.881,2
HET_1,33,99.9,1310.9,428,0.785,0.782,0.916,0
HET_1,34,108.6,1698.7,604,0.436,0.966,0.787,1
HET_1,35,101.7,1232.0,236,0.638,0.894,0.874,0
HET_1,36,102.8,1563.8,166,0.853,0.810,0.927,0
HET_1,37,113.4,904.2,289,0.471,0.872,0.682,0
HET_1,38,117.8,928.7,387,0.579,0.894,0.836,2
HET_1,39,120.7,1319.9,200,0.810,0.801,0.930,2
HET_1,40,130.1,1044.4,318,0.607,0.914,0.846,0
HET_1,41,132.1,1322.0,214,0.839,0.726,0.943,0
HET_1,42,143.5,1025.7,415,0.560,0.833,0.797,1
HET_1,43,138.6,1133.4,458,0.550,0.770,0.792,1
HET_1,44,146.8,826.8,790,0.348,0.929,0.734,1
HET_1,45,159.6,1761.9,457,0.634,0.928,0.927,2
HET_1,46,170.3,1310.6,790,0.325,0.963,0.630,1
HET_1,47,152.8,1243.1,647,0.602,0.935,0.892,0
HET_1,48,153.5,1276.3,169,0.821,0.877,0.949,0
HET_1,49,159.7,1455.1,462,0.522,0.813,0.749,3
HET_1,50,166.9,968.3,223,0.793,0.348,0.910,0
HET_1,51,170.1,945.8,339,0.750,0.849,0.931,1
HET_1,52,193.9,1228.3,820,0.596,0.913,0.882,0
HET_1,53,184.6,1265.2,254,0.701,0.923,0.930,0
HET_1,54,192.6,1063.6,299,0.644,0.804,0.835,1
HET_1,55,195.5,1630.3,363,0.583,0.890,0.810,1
HET_1,56,196.5,1550.7,311,0.595,0.946,0.920,1
HET_1,57,208.5,1676.6,785,0.632,0.924,0.937,0
HET_1,58,204.5,1403.3,645,0.555,0.930,0.866,1
HET_1,59,205.1,857.0,372,0.566,0.874,0.783,0
HET_1,60,205.0,831.8,366,0.925,0.473,0.958,0
HET_1,61,217.0,1178.4,524,0.501,0.963,0.828,1
HET_1,62,218.7,1801.4,499,0.500,0.960,0.875,1
HET_1,63,219.7,933.2,518,0.574,0.855,0.846,0
HET_1,64,215.4,1528.0,218,0.891,0.830,0.969,0
HET_1,65,226.7,1065.1,366,0.479,0.971,0.841,0
HET_1,66,216.9,1644.4,172,0.901,0.476,0.930,3
