blob_min,fg_min,score_weak,strong_rprom_min,strong_n_dirs_min,n_strong,n_weak,n_accept
0.1,0.35,0.18,1.0,3,359,1528,1887
0.1,0.35,0.22,1.0,3,359,1393,1752
0.1,0.35,0.26,1.0,3,359,1167,1526
0.1,0.35,0.3,1.0,3,359,873,1232
0.1,0.45,0.18,1.0,3,359,1527,1886
0.1,0.45,0.22,1.0,3,359,1392,1751
0.1,0.45,0.26,1.0,3,359,1166,1525
0.1,0.45,0.3,1.0,3,359,872,1231
0.1,0.55,0.18,1.0,3,358,1513,1871
0.1,0.55,0.22,1.0,3,358,1383,1741
0.1,0.55,0.26,1.0,3,358,1159,1517
0.1,0.55,0.3,1.0,3,358,867,1225
0.1,0.65,0.18,1.0,3,357,1462,1819
0.1,0.65,0.22,1.0,3,357,1337,1694
0.1,0.65,0.26,1.0,3,357,1118,1475
0.1,0.65,0.3,1.0,3,357,833,1190
0.15,0.35,0.18,1.0,3,359,1409,1768
0.15,0.35,0.22,1.0,3,359,1322,1681
0.15,0.35,0.26,1.0,3,359,1141,1500
0.15,0.35,0.3,1.0,3,359,870,1229
0.15,0.45,0.18,1.0,3,359,1408,1767
0.15,0.45,0.22,1.0,3,359,1321,1680
0.15,0.45,0.26,1.0,3,359,1140,1499
0.15,0.45,0.3,1.0,3,359,869,1228
0.15,0.55,0.18,1.0,3,358,1395,1753
0.15,0.55,0.22,1.0,3,358,1312,1670
0.15,0.55,0.26,1.0,3,358,1133,1491
0.15,0.55,0.3,1.0,3,358,864,1222
0.15,0.65,0.18,1.0,3,357,1344,1701
0.15,0.65,0.22,1.0,3,357,1266,1623
0.15,0.65,0.26,1.0,3,357,1092,1449
0.15,0.65,0.3,1.0,3,357,830,1187
0.2,0.35,0.18,1.0,3,358,1242,1600
0.2,0.35,0.22,1.0,3,358,1185,1543
0.2,0.35,0.26,1.0,3,358,1068,1426
0.2,0.35,0.3,1.0,3,358,841,1199
0.2,0.45,0.18,1.0,3,358,1241,1599
0.2,0.45,0.22,1.0,3,358,1184,1542
0.2,0.45,0.26,1.0,3,358,1067,1425
0.2,0.45,0.3,1.0,3,358,840,1198
0.2,0.55,0.18,1.0,3,357,1228,1585
0.2,0.55,0.22,1.0,3,357,1175,1532
0.2,0.55,0.26,1.0,3,357,1060,1417
0.2,0.55,0.3,1.0,3,357,835,1192
0.2,0.65,0.18,1.0,3,356,1177,1533
0.2,0.65,0.22,1.0,3,356,1129,1485
0.2,0.65,0.26,1.0,3,356,1019,1375
0.2,0.65,0.3,1.0,3,356,801,1157
0.25,0.35,0.18,1.0,3,357,1086,1443
0.25,0.35,0.22,1.0,3,357,1043,1400
0.25,0.35,0.26,1.0,3,357,973,1330
0.25,0.35,0.3,1.0,3,357,796,1153
0.25,0.45,0.18,1.0,3,357,1085,1442
0.25,0.45,0.22,1.0,3,357,1042,1399
0.25,0.45,0.26,1.0,3,357,972,1329
0.25,0.45,0.3,1.0,3,357,795,1152
0.25,0.55,0.18,1.0,3,356,1072,1428
0.25,0.55,0.22,1.0,3,356,1033,1389
0.25,0.55,0.26,1.0,3,356,965,1321
0.25,0.55,0.3,1.0,3,356,790,1146
0.25,0.65,0.18,1.0,3,355,1021,1376
0.25,0.65,0.22,1.0,3,355,987,1342
0.25,0.65,0.26,1.0,3,355,924,1279
0.25,0.65,0.3,1.0,3,355,756,1111
0.3,0.35,0.18,1.0,3,354,934,1288
0.3,0.35,0.22,1.0,3,354,899,1253
0.3,0.35,0.26,1.0,3,354,855,1209
0.3,0.35,0.3,1.0,3,354,735,1089
0.3,0.45,0.18,1.0,3,354,933,1287
0.3,0.45,0.22,1.0,3,354,898,1252
0.3,0.45,0.26,1.0,3,354,854,1208
0.3,0.45,0.3,1.0,3,354,734,1088
0.3,0.55,0.18,1.0,3,353,921,1274
0.3,0.55,0.22,1.0,3,353,890,1243
0.3,0.55,0.26,1.0,3,353,848,1201
0.3,0.55,0.3,1.0,3,353,730,1083
0.3,0.65,0.18,1.0,3,352,871,1223
0.3,0.65,0.22,1.0,3,352,845,1197
0.3,0.65,0.26,1.0,3,352,807,1159
0.3,0.65,0.3,1.0,3,352,696,1048
