blob_min,fg_min,score_weak,strong_rprom_min,strong_n_dirs_min,n_strong,n_weak,n_accept
0.1,0.35,0.18,1.0,3,486,1969,2455
0.1,0.35,0.22,1.0,3,486,1774,2260
0.1,0.35,0.26,1.0,3,486,1468,1954
0.1,0.35,0.3,1.0,3,486,1144,1630
0.1,0.45,0.18,1.0,3,486,1968,2454
0.1,0.45,0.22,1.0,3,486,1773,2259
0.1,0.45,0.26,1.0,3,486,1467,1953
0.1,0.45,0.3,1.0,3,486,1143,1629
0.1,0.55,0.18,1.0,3,486,1963,2449
0.1,0.55,0.22,1.0,3,486,1768,2254
0.1,0.55,0.26,1.0,3,486,1462,1948
0.1,0.55,0.3,1.0,3,486,1140,1626
0.1,0.65,0.18,1.0,3,483,1902,2385
0.1,0.65,0.22,1.0,3,483,1716,2199
0.1,0.65,0.26,1.0,3,483,1413,1896
0.1,0.65,0.3,1.0,3,483,1096,1579
0.15,0.35,0.18,1.0,3,486,1853,2339
0.15,0.35,0.22,1.0,3,486,1711,2197
0.15,0.35,0.26,1.0,3,486,1445,1931
0.15,0.35,0.3,1.0,3,486,1137,1623
0.15,0.45,0.18,1.0,3,486,1852,2338
0.15,0.45,0.22,1.0,3,486,1710,2196
0.15,0.45,0.26,1.0,3,486,1444,1930
0.15,0.45,0.3,1.0,3,486,1136,1622
0.15,0.55,0.18,1.0,3,486,1847,2333
0.15,0.55,0.22,1.0,3,486,1705,2191
0.15,0.55,0.26,1.0,3,486,1439,1925
0.15,0.55,0.3,1.0,3,486,1133,1619
0.15,0.65,0.18,1.0,3,483,1786,2269
0.15,0.65,0.22,1.0,3,483,1653,2136
0.15,0.65,0.26,1.0,3,483,1390,1873
0.15,0.65,0.3,1.0,3,483,1089,1572
0.2,0.35,0.18,1.0,3,486,1706,2192
0.2,0.35,0.22,1.0,3,486,1608,2094
0.2,0.35,0.26,1.0,3,486,1403,1889
0.2,0.35,0.3,1.0,3,486,1120,1606
0.2,0.45,0.18,1.0,3,486,1705,2191
0.2,0.45,0.22,1.0,3,486,1607,2093
0.2,0.45,0.26,1.0,3,486,1402,1888
0.2,0.45,0.3,1.0,3,486,1119,1605
0.2,0.55,0.18,1.0,3,486,1700,2186
0.2,0.55,0.22,1.0,3,486,1602,2088
0.2,0.55,0.26,1.0,3,486,1397,1883
0.2,0.55,0.3,1.0,3,486,1116,1602
0.2,0.65,0.18,1.0,3,483,1640,2123
0.2,0.65,0.22,1.0,3,483,1551,2034
0.2,0.65,0.26,1.0,3,483,1349,1832
0.2,0.65,0.3,1.0,3,483,1073,1556
0.25,0.35,0.18,1.0,3,486,1518,2004
0.25,0.35,0.22,1.0,3,486,1449,1935
0.25,0.35,0.26,1.0,3,486,1301,1787
0.25,0.35,0.3,1.0,3,486,1074,1560
0.25,0.45,0.18,1.0,3,486,1517,2003
0.25,0.45,0.22,1.0,3,486,1448,1934
0.25,0.45,0.26,1.0,3,486,1300,1786
0.25,0.45,0.3,1.0,3,486,1073,1559
0.25,0.55,0.18,1.0,3,486,1512,1998
0.25,0.55,0.22,1.0,3,486,1443,1929
0.25,0.55,0.26,1.0,3,486,1295,1781
0.25,0.55,0.3,1.0,3,486,1070,1556
0.25,0.65,0.18,1.0,3,483,1452,1935
0.25,0.65,0.22,1.0,3,483,1392,1875
0.25,0.65,0.26,1.0,3,483,1247,1730
0.25,0.65,0.3,1.0,3,483,1027,1510
0.3,0.35,0.18,1.0,3,484,1318,1802
0.3,0.35,0.22,1.0,3,484,1268,1752
0.3,0.35,0.26,1.0,3,484,1169,1653
0.3,0.35,0.3,1.0,3,484,1010,1494
0.3,0.45,0.18,1.0,3,484,1317,1801
0.3,0.45,0.22,1.0,3,484,1267,1751
0.3,0.45,0.26,1.0,3,484,1168,1652
0.3,0.45,0.3,1.0,3,484,1009,1493
0.3,0.55,0.18,1.0,3,484,1312,1796
0.3,0.55,0.22,1.0,3,484,1262,1746
0.3,0.55,0.26,1.0,3,484,1163,1647
0.3,0.55,0.3,1.0,3,484,1006,1490
0.3,0.65,0.18,1.0,3,481,1252,1733
0.3,0.65,0.22,1.0,3,481,1211,1692
0.3,0.65,0.26,1.0,3,481,1115,1596
0.3,0.65,0.3,1.0,3,481,963,1444
