image,cell_id,source,cy,cx,area_px,circularity,eccentricity,solidity
HET_1,1,cellpose_ext,13.7,1320.0,268,0.632,0.920,0.887
HET_1,2,cellpose_ext,8.9,1551.3,207,0.730,0.817,0.916
HET_1,3,cellpose_ext,7.3,1723.0,90,0.951,0.763,0.968
HET_1,4,cellpose_ext,17.5,1715.4,303,0.852,0.729,0.927
HET_1,5,cellpose_ext,22.6,1555.2,177,0.840,0.665,0.912
HET_1,6,cellpose_ext,34.2,1060.0,314,0.601,0.923,0.860
HET_1,7,cellpose_ext,35.1,1325.0,374,0.434,0.651,0.694
HET_1,8,cellpose_ext,33.8,1732.9,145,0.630,0.940,0.901
HET_1,9,cellpose_ext,46.5,1047.1,547,0.531,0.883,0.828
HET_1,10,cellpose_ext,52.0,1296.7,668,0.761,0.639,0.906
HET_1,11,cellpose_ext,42.9,993.8,272,0.881,0.545,0.944
HET_1,12,cellpose_ext,55.2,1430.4,706,0.491,0.743,0.800
HET_1,13,cellpose_ext,50.0,1012.0,366,0.420,0.814,0.683
HET_1,14,cellpose_ext,43.2,1632.2,112,0.938,0.728,0.957
HET_1,15,cellpose_ext,57.6,1496.3,519,0.421,0.847,0.688
HET_1,16,cellpose_ext,57.9,1578.2,451,0.538,0.884,0.798
HET_1,17,cellpose_ext,64.7,1779.8,350,0.415,0.954,0.682
HET_1,18,cellpose_ext,68.1,1105.6,554,0.493,0.947,0.832
HET_1,19,cellpose_ext,61.0,1623.9,379,0.761,0.797,0.902
HET_1,20,cellpose_ext,55.9,1685.1,266,0.655,0.896,0.881
HET_1,21,cellpose_ext,59.3,1331.9,234,0.842,0.727,0.925
HET_1,22,cellpose_ext,77.8,1487.1,659,0.338,0.976,0.689
HET_1,23,cellpose_ext,81.9,1218.5,580,0.510,0.828,0.787
HET_1,24,cellpose_ext,70.2,1520.3,346,0.614,0.812,0.840
HET_1,25,cellpose_ext,81.8,1669.6,681,0.590,0.774,0.846
HET_1,26,cellpose_ext,72.1,1145.9,151,0.963,0.489,0.962
HET_1,27,cellpose_ext,87.2,1746.4,467,0.592,0.851,0.879
HET_1,28,cellpose_ext,92.7,1382.4,971,0.652,0.675,0.863
HET_1,29,cellpose_ext,90.3,972.1,434,0.569,0.719,0.817
HET_1,30,cellpose_ext,87.3,1051.6,201,0.474,0.955,0.764
HET_1,31,cellpose_ext,91.6,1787.8,309,0.778,0.805,0.922
HET_1,32,cellpose_ext,97.6,1059.3,245,0.721,0.876,0.881
HET_1,33,cellpose_ext,99.9,1310.9,428,0.785,0.782,0.916
HET_1,34,cellpose_ext,108.6,1698.7,604,0.436,0.966,0.787
HET_1,35,cellpose_ext,101.7,1232.0,236,0.638,0.894,0.874
HET_1,36,cellpose_ext,102.8,1563.8,166,0.853,0.810,0.927
HET_1,37,cellpose_ext,113.4,904.2,289,0.471,0.872,0.682
HET_1,38,cellpose_ext,117.8,928.7,387,0.579,0.894,0.836
HET_1,39,cellpose_ext,120.7,1319.9,200,0.810,0.801,0.930
HET_1,40,cellpose_ext,130.1,1044.4,318,0.607,0.914,0.846
HET_1,41,cellpose_ext,132.1,1322.0,214,0.839,0.726,0.943
HET_1,42,cellpose_ext,143.5,1025.7,415,0.560,0.833,0.797
HET_1,43,cellpose_ext,138.6,1133.4,458,0.550,0.770,0.792
HET_1,44,cellpose_ext,146.8,826.8,790,0.348,0.929,0.734
HET_1,45,cellpose_ext,159.6,1761.9,457,0.634,0.928,0.927
HET_1,46,cellpose_ext,170.3,1310.6,790,0.325,0.963,0.630
HET_1,47,cellpose_ext,152.8,1243.1,647,0.602,0.935,0.892
HET_1,48,cellpose_ext,153.5,1276.3,169,0.821,0.877,0.949
HET_1,49,cellpose_ext,159.7,1455.1,462,0.522,0.813,0.749
HET_1,50,cellpose_ext,166.9,968.3,223,0.793,0.348,0.910
